Ref,Val,Package,PosX,PosY,Rot,Side,,
KiKit_FID_T_1,Fiducial,Fiducial,2,93,0,top,,90
KiKit_FID_T_2,Fiducial,Fiducial,118,93,0,top,,90
KiKit_FID_T_3,Fiducial,Fiducial,2,1.9985,0,top,,90
KiKit_FID_T_4,Fiducial,Fiducial,118,1.9985,0,top,,90
C9,47uF,C_0603_1608Metric,8,71.9995,180,top,,270
C9,47uF,C_0603_1608Metric,8,42.9995,180,top,,270
C9,47uF,C_0603_1608Metric,8,13.9995,180,top,,270
C10,1uF,C_0603_1608Metric,23.2,49.2745,90,top,,180
C10,1uF,C_0603_1608Metric,23.2,20.2745,90,top,,180
C10,1uF,C_0603_1608Metric,23.2,78.2745,90,top,,180
C11,0.1uF,C_0603_1608Metric,8,73.4995,180,top,,270
C11,0.1uF,C_0603_1608Metric,8,44.4995,180,top,,270
C11,0.1uF,C_0603_1608Metric,8,15.4995,180,top,,270
C12,0.1uF,C_0603_1608Metric,24.7,78.2745,90,top,,180
C12,0.1uF,C_0603_1608Metric,24.7,49.2745,90,top,,180
C12,0.1uF,C_0603_1608Metric,24.7,20.2745,90,top,,180
C13,0.1uF,C_0603_1608Metric,19.1,78.6995,-90,top,,0
C13,0.1uF,C_0603_1608Metric,19.1,20.6995,-90,top,,0
C13,0.1uF,C_0603_1608Metric,19.1,49.6995,-90,top,,0
C16,0.1uF,C_0603_1608Metric,15.3,41.77448,0,top,,90
C16,0.1uF,C_0603_1608Metric,15.3,70.77448,0,top,,90
C16,0.1uF,C_0603_1608Metric,15.3,12.77448,0,top,,90
C17,0.1uF,C_0603_1608Metric,25.3,12.77448,0,top,,90
C17,0.1uF,C_0603_1608Metric,25.3,70.77448,0,top,,90
C17,0.1uF,C_0603_1608Metric,25.3,41.77448,0,top,,90
C18,0.1uF,C_0603_1608Metric,45.3,41.77448,0,top,,90
C18,0.1uF,C_0603_1608Metric,45.3,70.77448,0,top,,90
C18,0.1uF,C_0603_1608Metric,45.3,12.77448,0,top,,90
C19,0.1uF,C_0603_1608Metric,65.3,41.77448,0,top,,90
C19,0.1uF,C_0603_1608Metric,65.3,12.77448,0,top,,90
C19,0.1uF,C_0603_1608Metric,65.3,70.77448,0,top,,90
C20,0.1uF,C_0603_1608Metric,85.3,12.77448,0,top,,90
C20,0.1uF,C_0603_1608Metric,85.3,41.77448,0,top,,90
C20,0.1uF,C_0603_1608Metric,85.3,70.77448,0,top,,90
C21,10uF,C_0603_1608Metric,100.05,50.0395,90,top,,180
C21,10uF,C_0603_1608Metric,100.05,79.0395,90,top,,180
C21,10uF,C_0603_1608Metric,100.05,21.0395,90,top,,180
C22,10uF,C_0603_1608Metric,94.05,50.0395,90,top,,180
C22,10uF,C_0603_1608Metric,94.05,21.0395,90,top,,180
C22,10uF,C_0603_1608Metric,94.05,79.0395,90,top,,180
C24,0.1uF,C_0603_1608Metric,35.3,12.77448,0,top,,90
C24,0.1uF,C_0603_1608Metric,35.3,41.77448,0,top,,90
C24,0.1uF,C_0603_1608Metric,35.3,70.77448,0,top,,90
C25,0.1uF,C_0603_1608Metric,55.3,12.77448,0,top,,90
C25,0.1uF,C_0603_1608Metric,55.3,41.77448,0,top,,90
C25,0.1uF,C_0603_1608Metric,55.3,70.77448,0,top,,90
C26,0.1uF,C_0603_1608Metric,75.3,70.77448,0,top,,90
C26,0.1uF,C_0603_1608Metric,75.3,41.77448,0,top,,90
C26,0.1uF,C_0603_1608Metric,75.3,12.77448,0,top,,90
C27,0.1uF,C_0603_1608Metric,26.6,84.0245,90,top,,180
C27,0.1uF,C_0603_1608Metric,26.6,26.0245,90,top,,180
C27,0.1uF,C_0603_1608Metric,26.6,55.0245,90,top,,180
C28,0.1uF,C_0603_1608Metric,95.3,41.77448,0,top,,90
C28,0.1uF,C_0603_1608Metric,95.3,70.77448,0,top,,90
C28,0.1uF,C_0603_1608Metric,95.3,12.77448,0,top,,90
C29,0.1uF,C_0603_1608Metric,105.3,70.77448,0,top,,90
C29,0.1uF,C_0603_1608Metric,105.3,12.77448,0,top,,90
C29,0.1uF,C_0603_1608Metric,105.3,41.77448,0,top,,90
C30,0.1uF,C_0603_1608Metric,44.025,83.1995,180,top,,270
C30,0.1uF,C_0603_1608Metric,44.025,25.1995,180,top,,270
C30,0.1uF,C_0603_1608Metric,44.025,54.1995,180,top,,270
C31,0.1uF,C_0603_1608Metric,56.545,55.1595,90,top,,180
C31,0.1uF,C_0603_1608Metric,56.545,84.1595,90,top,,180
C31,0.1uF,C_0603_1608Metric,56.545,26.1595,90,top,,180
C32,0.1uF,C_0603_1608Metric,71.62,55.0395,90,top,,180
C32,0.1uF,C_0603_1608Metric,71.62,84.0395,90,top,,180
C32,0.1uF,C_0603_1608Metric,71.62,26.0395,90,top,,180
C33,0.1uF,C_0603_1608Metric,89.025,83.1995,180,top,,270
C33,0.1uF,C_0603_1608Metric,89.025,25.1995,180,top,,270
C33,0.1uF,C_0603_1608Metric,89.025,54.1995,180,top,,270
D5,TPD1E10B06,D_SOD-523,111.48,37.0895,-90,top,,0
D5,TPD1E10B06,D_SOD-523,111.48,8.0895,-90,top,,0
D5,TPD1E10B06,D_SOD-523,111.48,66.0895,-90,top,,0
LED1,IN-PI15TAT5R5G5B,IN-PI15_INL,15,72.97448,0,top,,90
LED1,IN-PI15TAT5R5G5B,IN-PI15_INL,15,43.97448,0,top,,90
LED1,IN-PI15TAT5R5G5B,IN-PI15_INL,15,14.97448,0,top,,90
LED2,IN-PI15TAT5R5G5B,IN-PI15_INL,25,72.97448,0,top,,90
LED2,IN-PI15TAT5R5G5B,IN-PI15_INL,25,43.97448,0,top,,90
LED2,IN-PI15TAT5R5G5B,IN-PI15_INL,25,14.97448,0,top,,90
LED3,IN-PI15TAT5R5G5B,IN-PI15_INL,35,14.97448,0,top,,90
LED3,IN-PI15TAT5R5G5B,IN-PI15_INL,35,43.97448,0,top,,90
LED3,IN-PI15TAT5R5G5B,IN-PI15_INL,35,72.97448,0,top,,90
LED4,IN-PI15TAT5R5G5B,IN-PI15_INL,45,72.97448,0,top,,90
LED4,IN-PI15TAT5R5G5B,IN-PI15_INL,45,43.97448,0,top,,90
LED4,IN-PI15TAT5R5G5B,IN-PI15_INL,45,14.97448,0,top,,90
LED5,IN-PI15TAT5R5G5B,IN-PI15_INL,55,14.97448,0,top,,90
LED5,IN-PI15TAT5R5G5B,IN-PI15_INL,55,72.97448,0,top,,90
LED5,IN-PI15TAT5R5G5B,IN-PI15_INL,55,43.97448,0,top,,90
LED6,IN-PI15TAT5R5G5B,IN-PI15_INL,65,43.97448,0,top,,90
LED6,IN-PI15TAT5R5G5B,IN-PI15_INL,65,72.97448,0,top,,90
LED6,IN-PI15TAT5R5G5B,IN-PI15_INL,65,14.97448,0,top,,90
LED7,IN-PI15TAT5R5G5B,IN-PI15_INL,75,14.97448,0,top,,90
LED7,IN-PI15TAT5R5G5B,IN-PI15_INL,75,43.97448,0,top,,90
LED7,IN-PI15TAT5R5G5B,IN-PI15_INL,75,72.97448,0,top,,90
LED8,IN-PI15TAT5R5G5B,IN-PI15_INL,85,72.97448,0,top,,90
LED8,IN-PI15TAT5R5G5B,IN-PI15_INL,85,14.97448,0,top,,90
LED8,IN-PI15TAT5R5G5B,IN-PI15_INL,85,43.97448,0,top,,90
LED9,IN-PI15TAT5R5G5B,IN-PI15_INL,95,14.97448,0,top,,90
LED9,IN-PI15TAT5R5G5B,IN-PI15_INL,95,72.97448,0,top,,90
LED9,IN-PI15TAT5R5G5B,IN-PI15_INL,95,43.97448,0,top,,90
LED10,IN-PI15TAT5R5G5B,IN-PI15_INL,105,72.97448,0,top,,90
LED10,IN-PI15TAT5R5G5B,IN-PI15_INL,105,14.97448,0,top,,90
LED10,IN-PI15TAT5R5G5B,IN-PI15_INL,105,43.97448,0,top,,90
LS1,SMT1240SHT,SMT1240SHT,111.98,53.2595,-90,top,,0
LS1,SMT1240SHT,SMT1240SHT,111.98,82.2595,-90,top,,0
LS1,SMT1240SHT,SMT1240SHT,111.98,24.2595,-90,top,,0
P1,USB_C_Plug_USB2.0,GCT_USB4105-GF-A,118.48,41.0895,90,top,,180
P1,USB_C_Plug_USB2.0,GCT_USB4105-GF-A,118.48,12.0895,90,top,,180
P1,USB_C_Plug_USB2.0,GCT_USB4105-GF-A,118.48,70.0895,90,top,,180
Q1,BSS138,SOT-23,9.8625,67.6995,0,top,,270
Q1,BSS138,SOT-23,9.8625,9.6995,0,top,,270
Q1,BSS138,SOT-23,9.8625,38.6995,0,top,,270
R1,10K,R_0603_1608Metric,7.1,9.7995,90,top,,180
R1,10K,R_0603_1608Metric,7.1,38.7995,90,top,,180
R1,10K,R_0603_1608Metric,7.1,67.7995,90,top,,180
R4,10K,R_0603_1608Metric,12.7,11.17448,-90,top,,0
R4,10K,R_0603_1608Metric,12.7,40.17448,-90,top,,0
R4,10K,R_0603_1608Metric,12.7,69.17448,-90,top,,0
R5,470,R_0603_1608Metric,12.7,43.57448,90,top,,180
R5,470,R_0603_1608Metric,12.7,14.57448,90,top,,180
R5,470,R_0603_1608Metric,12.7,72.57448,90,top,,180
R11,10K,R_0603_1608Metric,21.89,75.3095,90,top,,180
R11,10K,R_0603_1608Metric,21.89,17.3095,90,top,,180
R11,10K,R_0603_1608Metric,21.89,46.3095,90,top,,180
R12,10K,R_0603_1608Metric,20.5,52.9995,0,top,,90
R12,10K,R_0603_1608Metric,20.5,81.9995,0,top,,90
R12,10K,R_0603_1608Metric,20.5,23.9995,0,top,,90
R16,1M,R_0603_1608Metric,108.14,7.5395,180,top,,270
R16,1M,R_0603_1608Metric,108.14,65.5395,180,top,,270
R16,1M,R_0603_1608Metric,108.14,36.5395,180,top,,270
R17,5K1,R_0603_1608Metric,110,14.9995,180,top,,270
R17,5K1,R_0603_1608Metric,110,43.9995,180,top,,270
R17,5K1,R_0603_1608Metric,110,72.9995,180,top,,270
R18,5K1,R_0603_1608Metric,110,68.4995,180,top,,270
R18,5K1,R_0603_1608Metric,110,10.4995,180,top,,270
R18,5K1,R_0603_1608Metric,110,39.4995,180,top,,270
R19,100k,R_0603_1608Metric,25,84.0245,90,top,,180
R19,100k,R_0603_1608Metric,25,55.0245,90,top,,180
R19,100k,R_0603_1608Metric,25,26.0245,90,top,,180
R20,10k,R_0603_1608Metric,28.2,55.0245,90,top,,180
R20,10k,R_0603_1608Metric,28.2,26.0245,90,top,,180
R20,10k,R_0603_1608Metric,28.2,84.0245,90,top,,180
R21,22,R_0603_1608Metric,110,69.9995,0,top,,90
R21,22,R_0603_1608Metric,110,11.9995,0,top,,90
R21,22,R_0603_1608Metric,110,40.9995,0,top,,90
R22,22,R_0603_1608Metric,110,13.4995,180,top,,270
R22,22,R_0603_1608Metric,110,71.4995,180,top,,270
R22,22,R_0603_1608Metric,110,42.4995,180,top,,270
R23,100k,R_0603_1608Metric,44.025,52.5995,180,top,,270
R23,100k,R_0603_1608Metric,44.025,81.5995,180,top,,270
R23,100k,R_0603_1608Metric,44.025,23.5995,180,top,,270
R24,10k,R_0603_1608Metric,44.025,55.7995,180,top,,270
R24,10k,R_0603_1608Metric,44.025,26.7995,180,top,,270
R24,10k,R_0603_1608Metric,44.025,84.7995,180,top,,270
R25,100k,R_0603_1608Metric,54.945,55.1595,90,top,,180
R25,100k,R_0603_1608Metric,54.945,26.1595,90,top,,180
R25,100k,R_0603_1608Metric,54.945,84.1595,90,top,,180
R26,10k,R_0603_1608Metric,58.145,84.1595,90,top,,180
R26,10k,R_0603_1608Metric,58.145,55.1595,90,top,,180
R26,10k,R_0603_1608Metric,58.145,26.1595,90,top,,180
R27,100k,R_0603_1608Metric,70.02,84.0395,90,top,,180
R27,100k,R_0603_1608Metric,70.02,26.0395,90,top,,180
R27,100k,R_0603_1608Metric,70.02,55.0395,90,top,,180
R28,10k,R_0603_1608Metric,73.22,55.0395,90,top,,180
R28,10k,R_0603_1608Metric,73.22,84.0395,90,top,,180
R28,10k,R_0603_1608Metric,73.22,26.0395,90,top,,180
R29,100k,R_0603_1608Metric,89.025,81.5995,180,top,,270
R29,100k,R_0603_1608Metric,89.025,23.5995,180,top,,270
R29,100k,R_0603_1608Metric,89.025,52.5995,180,top,,270
R30,10k,R_0603_1608Metric,89.025,55.7995,180,top,,270
R30,10k,R_0603_1608Metric,89.025,26.7995,180,top,,270
R30,10k,R_0603_1608Metric,89.025,84.7995,180,top,,270
R31,1M,R_0603_1608Metric,102.502187,52.967014,-90,top,,0
R31,1M,R_0603_1608Metric,102.502187,23.967014,-90,top,,0
R31,1M,R_0603_1608Metric,102.502187,81.967014,-90,top,,0
R32,100,R_0603_1608Metric,100.102187,53.792014,180,top,,270
R32,100,R_0603_1608Metric,100.102187,24.792014,180,top,,270
R32,100,R_0603_1608Metric,100.102187,82.792014,180,top,,270
S2,SWITCH_0SMTRLFS,SWITCH_0SMTRLFS,20.5,27.9995,-90,top,,0
S2,SWITCH_0SMTRLFS,SWITCH_0SMTRLFS,20.5,56.9995,-90,top,,0
S2,SWITCH_0SMTRLFS,SWITCH_0SMTRLFS,20.5,85.9995,-90,top,,0
S3,TL1016AAF220QG,TL1016AAF220QG,30,87.5245,180,top,,0
S3,TL1016AAF220QG,TL1016AAF220QG,30,58.5245,180,top,,0
S3,TL1016AAF220QG,TL1016AAF220QG,30,29.5245,180,top,,0
S4,TL1016AAF220QG,TL1016AAF220QG,45,87.5245,180,top,,0
S4,TL1016AAF220QG,TL1016AAF220QG,45,58.5245,180,top,,0
S4,TL1016AAF220QG,TL1016AAF220QG,45,29.5245,180,top,,0
S5,TL1016AAF220QG,TL1016AAF220QG,60,29.5995,180,top,,0
S5,TL1016AAF220QG,TL1016AAF220QG,60,58.5995,180,top,,0
S5,TL1016AAF220QG,TL1016AAF220QG,60,87.5995,180,top,,0
S6,TL1016AAF220QG,TL1016AAF220QG,75,58.5245,180,top,,0
S6,TL1016AAF220QG,TL1016AAF220QG,75,87.5245,180,top,,0
S6,TL1016AAF220QG,TL1016AAF220QG,75,29.5245,180,top,,0
S7,TL1016AAF220QG,TL1016AAF220QG,90,58.5245,180,top,,0
S7,TL1016AAF220QG,TL1016AAF220QG,90,29.5245,180,top,,0
S7,TL1016AAF220QG,TL1016AAF220QG,90,87.5245,180,top,,0
U6,AP2205,AP2204,97.165,79.2145,90,top,,90
U6,AP2205,AP2204,97.165,21.2145,90,top,,90
U6,AP2205,AP2204,97.165,50.2145,90,top,,90
U7,ESP32-H2-MINI-1,MODULE_ESP32-H2-MINI-1-H2,8.8,23.8995,90,top,,180
U7,ESP32-H2-MINI-1,MODULE_ESP32-H2-MINI-1-H2,8.8,81.8995,90,top,,180
U7,ESP32-H2-MINI-1,MODULE_ESP32-H2-MINI-1-H2,8.8,52.8995,90,top,,180
